Unique_ID,Txn_No,Type,From,To,Amount,Txn,Punk
107,3,Bid ,0x8b27de,,123,"Jul 07, 2017",2
108,4,Bid ,0x00d7c9,,246,"Jul 08, 2017",2
109,5,Bid ,0x7760e0,,246,"Jul 08, 2017",2
110,6,Bid ,0x00d7c9,,270,"Jul 08, 2017",2
111,7,Bid ,0x7760e0,,270,"Jul 08, 2017",2
112,8,Bid ,jmg,,504,"Aug 25, 2019",2
113,9,Bid Withdrawn,jmg,,489,"Sep 12, 2019",2
114,10,Bid ,jmg,,634,"Sep 12, 2019",2
115,11,Bid Withdrawn,jmg,,634,"Oct 02, 2019",2
116,12,Bid ,jmg,,724,"Oct 02, 2019",2
117,13,Bid Withdrawn,jmg,,500,"Dec 28, 2019",2
118,14,Bid ,jmg,,433,"Dec 31, 2019",2
119,15,Bid Withdrawn,jmg,,431,"Jan 01, 2020",2
120,16,Bid ,natealex,,"1,071","Jan 04, 2020",2
121,17,Bid Withdrawn,natealex,,"1,125","Jan 07, 2020",2
122,18,Bid ,0x9b35db,,"3,504","Aug 22, 2020",2
123,19,Bid Withdrawn,0x9b35db,,"3,532","Aug 24, 2020",2
124,20,Bid ,DANNY,,"7,400","Sep 20, 2020",2
125,21,Bid Withdrawn,DANNY,,"6,914","Sep 21, 2020",2
126,22,Bid ,0x4c9692,,"12,783","Jan 28, 2021",2
127,23,Bid Withdrawn,0x4c9692,,"12,718","Jan 30, 2021",2
128,24,Bid ,0xtajar.…,,6,"Jun 04, 2021",2
129,25,Transfer,0xc352b5,alien635…,,"Jun 09, 2021",2
130,26,Bid ,vdp.eth,,"34,230","Jul 31, 2021",2
131,27,Bid Withdrawn,vdp.eth,,"34,230","Jul 31, 2021",2
132,28,Bid ,0x8adc26,,"149,433","Aug 07, 2021",2
133,29,Bid Withdrawn,0x8adc26,,"151,860","Aug 09, 2021",2
134,0,Claimed,,0xc352b5,,"Jun 23, 2017",3
135,1,Bid ,0x717403,,13,"Jun 26, 2017",3
136,2,Bid ,0x9be1c7,,15,"Jun 26, 2017",3
137,3,Bid ,0x717403,,15,"Jun 26, 2017",3
138,4,Bid ,0x00d7c9,,117,"Jun 28, 2017",3
139,5,Bid Withdrawn,0x00d7c9,,104,"Jun 30, 2017",3
140,6,Bid ,0x7760e0,,14,"Jul 02, 2017",3
141,7,Bid ,0x00d7c9,,246,"Jul 08, 2017",3
142,8,Bid ,0x7760e0,,246,"Jul 08, 2017",3
143,9,Bid ,0x00d7c9,,270,"Jul 08, 2017",3
144,10,Bid ,0x7760e0,,270,"Jul 08, 2017",3
145,11,Bid ,Alex3422,,"1,197","Jun 01, 2020",3
146,12,Bid Withdrawn,Alex3422,,"1,215","Jun 06, 2020",3
147,13,Bid ,jmg,,"11,944","Sep 28, 2020",3
148,14,Bid Withdrawn,jmg,,"11,638","Oct 04, 2020",3
149,15,Bid ,boy.eth,,"95,708","Aug 27, 2021",3
150,16,Bid Withdrawn,boy.eth,,"97,368","Aug 28, 2021",3
151,0,Claimed,,0xc352b5,,"Jun 23, 2017",4
152,1,Bid ,ddaavvee,,28,"Jun 25, 2017",4
153,2,Bid ,0x00d7c9,,246,"Jul 08, 2017",4
154,3,Bid Withdrawn,0x00d7c9,,238,"Jul 09, 2017",4
155,4,Bid ,jmg,,373,"Aug 25, 2019",4
156,5,Bid Withdrawn,jmg,,250,"Dec 28, 2019",4
157,6,Bid ,Carlini8,,264,"Jan 01, 2020",4
158,7,Bid Withdrawn,Carlini8,,255,"Jan 03, 2020",4
159,8,Bid ,natealex,,589,"Jan 04, 2020",4
160,9,Bid Withdrawn,natealex,,621,"Jan 06, 2020",4
161,10,Bid ,noun12.e…,,"71,053","Apr 26, 2021",4
162,11,Bid Withdrawn,noun12.e…,,"109,026","May 13, 2021",4
163,0,Claimed,,0xc352b5,,"Jun 23, 2017",5
164,1,Bid ,0x9be1c7,,15,"Jun 26, 2017",5
165,2,Bid ,0x717403,,15,"Jun 26, 2017",5
166,3,Bid Withdrawn,0x717403,,16,"Jul 04, 2017",5
167,4,Bid ,0x00d7c9,,246,"Jul 08, 2017",5
168,5,Bid Withdrawn,0x00d7c9,,238,"Jul 09, 2017",5
169,6,Bid ,0xce6259,,"1,635","Jan 27, 2021",5
170,7,Bid Withdrawn,0xce6259,,"1,613","Jan 27, 2021",5
171,8,Transfer,0xc352b5,0xe34bde,,"Feb 04, 2021",5
172,9,Transfer,0xe34bde,0xfd9065,,"Feb 04, 2021",5
173,10,(Wrap),0xfd9065,WrappedC…,,"Feb 04, 2021",5
174,11,Bid ,0x2d0f9c,,"6,115","Apr 03, 2021",5
175,12,Bid Withdrawn,0x2d0f9c,,"6,037","Apr 04, 2021",5
176,13,Bid ,vengist,,"11,322","Apr 29, 2021",5
177,14,Bid ,0x976292,,"16,098","Aug 13, 2021",5
178,15,(Unwrap),WrappedC…,0xe34bde,,"Oct 21, 2021",5
179,0,Claimed,,0xc352b5,,"Jun 23, 2017",6
180,1,Bid ,0x9be1c7,,15,"Jun 26, 2017",6
181,2,Bid ,0x717403,,15,"Jun 26, 2017",6
182,3,Bid ,0x00d7c9,,246,"Jul 08, 2017",6
183,4,Bid Withdrawn,0x00d7c9,,238,"Jul 09, 2017",6
184,5,Bid ,TokenAng…,,"7,350","Jan 01, 2021",6
185,6,Bid Withdrawn,TokenAng…,,"10,126","Jan 04, 2021",6
186,7,Bid ,s19m.eth,,130,"Jun 30, 2021",6
187,8,Bid Withdrawn,s19m.eth,,127,"Jun 30, 2021",6
188,9,Bid ,0x8a0a45,,191,"Aug 30, 2021",6
189,10,Bid Withdrawn,0x8a0a45,,191,"Aug 30, 2021",6
190,11,Bid ,snoopalo…,,"3,923","Sep 04, 2021",6
191,12,Bid Withdrawn,snoopalo…,,"3,941","Sep 06, 2021",6
192,0,Claimed,,0xc352b5,,"Jun 23, 2017",7
193,1,Bid ,0x9be1c7,,15,"Jun 26, 2017",7
194,2,Bid ,0x00d7c9,,246,"Jul 08, 2017",7
195,3,Bid Withdrawn,0x00d7c9,,238,"Jul 09, 2017",7
196,4,Bid ,Pranksy,,132,"Jan 01, 2020",7
197,5,Bid Withdrawn,Pranksy,,136,"Jan 05, 2020",7
198,6,Bid ,jmg,,816,"Jan 24, 2020",7
199,7,Bid ,MrTpunks,,898,"Jan 24, 2020",7
200,8,Bid ,jmg,,960,"Jan 25, 2020",7
201,9,Bid Withdrawn,jmg,,965,"Jan 25, 2020",7
202,10,Bid ,Michel_M…,,428,"Jul 13, 2020",7
203,11,Bid Withdrawn,Michel_M…,,551,"Jul 26, 2020",7
204,12,Bid ,0xc2ce86,,844,"Oct 31, 2021",7
205,13,Bid ,0x63ba2a,,"4,485","Nov 02, 2021",7
206,0,Claimed,,0xc352b5,,"Jun 23, 2017",8
207,1,Bid ,0x9be1c7,,15,"Jun 26, 2017",8
208,2,Bid ,0x717403,,15,"Jun 26, 2017",8
209,3,Bid ,0x8b27de,,118,"Jul 07, 2017",8
210,4,Bid ,0x00d7c9,,246,"Jul 08, 2017",8
211,5,Bid Withdrawn,0x00d7c9,,238,"Jul 09, 2017",8
212,6,Bid ,0x43b89f,,38,"Aug 30, 2017",8
213,7,Bid Withdrawn,0x43b89f,,31,"Oct 18, 2017",8
214,8,Bid ,jmg,,808,"Jan 24, 2020",8
215,9,Bid Withdrawn,jmg,,804,"Jan 25, 2020",8
216,10,Bid ,MBK,,422,"May 21, 2020",8
217,11,Bid Withdrawn,MBK,,409,"May 24, 2020",8
218,12,Bid ,Michel_M…,,918,"Aug 14, 2020",8
219,13,Bid Withdrawn,Michel_M…,,945,"Aug 14, 2020",8
220,14,Bid ,kskum,,"3,618","Mar 16, 2021",8
221,15,Bid ,0x516358,,"40,949","Apr 05, 2021",8
222,16,Bid Withdrawn,0x516358,,"41,618","Apr 09, 2021",8
223,17,Bid ,0x516358,,"62,427","Apr 09, 2021",8
224,18,Bid Withdrawn,0x516358,,"68,985","Apr 13, 2021",8
225,0,Claimed,,0xc352b5,,"Jun 23, 2017",9
226,1,Bid ,0x9be1c7,,15,"Jun 26, 2017",9
227,2,Bid ,0xa0a59c,,63,"Jun 28, 2017",9
228,3,Bid Withdrawn,0xa0a59c,,48,"Jul 07, 2017",9
229,4,Bid ,0x00d7c9,,246,"Jul 08, 2017",9
230,5,Bid Withdrawn,0x00d7c9,,238,"Jul 09, 2017",9
231,6,Bid ,0x00bd3a,,260,"Jul 21, 2017",9
232,7,Bid Withdrawn,0x00bd3a,,274,"Jul 23, 2017",9
233,8,Bid ,0x00bd3a,,282,"Jul 24, 2017",9
234,9,Bid Withdrawn,0x00bd3a,,924,"Dec 29, 2017",9
235,10,Bid ,jmg,,217,"Mar 29, 2019",9
236,11,Bid Withdrawn,jmg,,217,"Mar 29, 2019",9
237,12,Bid ,jmg,,217,"Mar 29, 2019",9
238,13,Bid Withdrawn,jmg,,263,"Apr 07, 2019",9
239,14,Bid ,0xa1179f,,301,"Apr 17, 2019",9
240,15,Bid Withdrawn,0xa1179f,,314,"Apr 18, 2019",9
241,16,Bid ,jmg,,377,"Aug 26, 2019",9
242,17,Bid Withdrawn,jmg,,362,"Sep 12, 2019",9
243,18,Bid ,jmg,,832,"Jan 20, 2020",9
244,19,Bid Withdrawn,jmg,,804,"Jan 25, 2020",9
245,20,Bid ,Pranksy,,839,"May 20, 2020",9
246,21,Bid Withdrawn,Pranksy,,794,"May 22, 2020",9
247,22,Bid ,Alex3422,,"1,437","Jun 01, 2020",9
248,23,Bid Withdrawn,Alex3422,,"1,443","Jun 04, 2020",9
249,24,Bid ,jmg,,"7,400","Sep 20, 2020",9
250,25,Bid Withdrawn,jmg,,"7,071","Sep 26, 2020",9
251,26,Bid ,jmg,,"8,839","Sep 26, 2020",9
252,27,Bid ,jmg,,"9,986","Sep 28, 2020",9
253,28,Bid Withdrawn,jmg,,"9,493","Oct 02, 2020",9
254,29,Bid ,jmg,,"13,669","Oct 13, 2020",9
255,30,Bid Withdrawn,jmg,,"13,597","Oct 14, 2020",9
256,0,Claimed,,0xc352b5,,"Jun 23, 2017",10
257,1,Bid ,0x9be1c7,,15,"Jun 26, 2017",10
258,2,Bid ,0x717403,,15,"Jun 26, 2017",10
259,3,Bid ,0x7ebcda,,145,"Jul 07, 2017",10
260,4,Bid Withdrawn,0x7ebcda,,145,"Jul 07, 2017",10
261,5,Bid ,0x00d7c9,,246,"Jul 08, 2017",10
262,6,Bid Withdrawn,0x00d7c9,,238,"Jul 09, 2017",10
263,7,Bid ,0x00d7c9,,123,"Jul 10, 2017",10
264,8,Bid Withdrawn,0x00d7c9,,123,"Jul 10, 2017",10
265,9,Bid ,0xddfdcb,,"46,570","Mar 19, 2021",10
266,10,Bid Withdrawn,0xddfdcb,,"45,336","Mar 21, 2021",10
267,0,Claimed,,0xc352b5,,"Jun 23, 2017",11
268,0,Claimed,,0xc352b5,,"Jun 23, 2017",12
269,1,Bid ,0x717403,,13,"Jun 26, 2017",12
270,2,Bid ,Pranksy,,66,"Jan 01, 2020",12
271,3,Bid Withdrawn,Pranksy,,65,"Jan 02, 2020",12
272,4,Bid ,0x3d0414,,28,"Sep 13, 2021",12
273,0,Claimed,,0xc352b5,,"Jun 23, 2017",13
274,1,Bid ,0x717403,,13,"Jun 26, 2017",13
275,2,Bid ,jmg,,263,"Jan 01, 2020",13
276,3,Bid Withdrawn,jmg,,289,"Jan 07, 2020",13
277,4,Bid ,jmg,,506,"Jan 07, 2020",13
278,5,Bid Withdrawn,jmg,,477,"Jan 09, 2020",13
279,6,Bid ,Pranksy,,699,"May 20, 2020",13
280,7,Bid Withdrawn,Pranksy,,661,"May 22, 2020",13
281,8,Bid ,jmg,,"4,538","Oct 03, 2020",13
282,9,Bid Withdrawn,jmg,,"4,910","Oct 14, 2020",13
283,10,Bid ,Pranksy,,"19,917","Feb 01, 2021",13
284,11,Bid Withdrawn,Pranksy,,"21,074","Feb 02, 2021",13
285,12,Bid ,0x4eb676,,"81,654","Mar 05, 2021",13
286,13,Bid Withdrawn,0x4eb676,,"81,801","Mar 05, 2021",13
287,14,Bid ,0x983ace,,"149,995","Apr 12, 2021",13
288,15,Bid Withdrawn,0x983ace,,"149,334","Apr 12, 2021",13
289,16,Bid ,daddykal…,,"112,400","Jun 06, 2021",13
290,17,Bid Withdrawn,daddykal…,,"116,917","Jun 07, 2021",13
291,0,Claimed,,0xc352b5,,"Jun 23, 2017",14
292,1,Bid ,0x717403,,14,"Jun 25, 2017",14
293,2,Bid ,0x00d7c9,,114,"Jun 28, 2017",14
294,3,Bid Withdrawn,0x00d7c9,,114,"Jun 28, 2017",14
295,4,Bid ,0x7760e0,,16,"Jun 28, 2017",14
296,5,Bid ,0x6611fe,,28,"Jul 02, 2017",14
297,6,Bid ,0x7760e0,,28,"Jul 02, 2017",14
298,7,Bid ,0x6611fe,,88,"Jul 06, 2017",14
299,8,Bid ,0x717403,,88,"Jul 06, 2017",14
300,9,Bid ,Hemba,,145,"Jul 09, 2017",14
301,10,Bid Withdrawn,Hemba,,145,"Jul 09, 2017",14
302,11,Bid ,0x3a6372,,22,"Jul 12, 2017",14
303,12,Offered,,,185,"Jul 13, 2017",14
304,13,Sold ,0xc352b5,0xd8e806,185,"Jul 13, 2017",14
305,14,Offered,,,394,"Jul 14, 2017",14
306,15,Offered,,,375,"Jul 14, 2017",14
307,16,Offered,,,365,"Jul 14, 2017",14
308,17,Sold ,0xd8e806,0x582fa7,351,"Jul 17, 2017",14
309,18,Offered,,,"1,884","Dec 26, 2017",14
310,19,Sold ,0x582fa7,0x7c00c9…,234,"Dec 07, 2018",14
311,20,Offered,,,515,"Dec 07, 2018",14
312,21,Offer Withdrawn,,,,"Dec 08, 2018",14
313,22,Bid ,robers,,86,"Apr 22, 2019",14
314,23,Bid Withdrawn,robers,,83,"Apr 10, 2020",14
315,24,Offered,,,"736,920","Feb 07, 2021",14
316,25,Offered,,,"986,357","Feb 17, 2021",14
317,26,Bid ,0xe369a8,,"68,246","Feb 20, 2021",14
318,27,Bid Withdrawn,0xe369a8,,"68,201","Feb 20, 2021",14
319,28,Bid ,0xe369a8,,"66,189","Feb 20, 2021",14
320,29,Bid Withdrawn,0xe369a8,,"66,189","Feb 20, 2021",14
321,30,Bid ,0xe369a8,,"64,905","Feb 20, 2021",14
322,31,Bid Withdrawn,0xe369a8,,"64,905","Feb 20, 2021",14
323,32,Bid ,0xd69111,,"1,230","Aug 03, 2021",14
324,33,Offered,,,2.19M,"Sep 14, 2021",14
325,0,Claimed,,0xc352b5,,"Jun 23, 2017",15
326,1,Bid ,0x00d7c9,,30,"Jun 24, 2017",15
327,2,Bid ,0x717403,,28,"Jun 25, 2017",15
328,3,Bid ,0x2e2e26,,89,"Dec 22, 2018",15
329,4,Bid Withdrawn,0x2e2e26,,276,"Oct 01, 2020",15
330,5,Bid ,opal.eth,,"29,170","Feb 20, 2021",15
331,6,Bid Withdrawn,opal.eth,,"29,211","Feb 20, 2021",15
332,7,Bid ,TokenAng…,,"94,707","Feb 21, 2021",15
333,8,Bid Withdrawn,TokenAng…,,"80,008","Feb 25, 2021",15
334,9,Bid ,runhot99…,,"131,713","Apr 18, 2021",15
335,10,Bid Withdrawn,runhot99…,,"123,576","Apr 18, 2021",15
336,11,Bid ,0x65b1b9,,"457,184","Oct 04, 2021",15
337,12,Bid Withdrawn,0x65b1b9,,"569,300","Oct 26, 2021",15
338,0,Claimed,,0xc352b5,,"Jun 23, 2017",16
339,1,Bid ,0x83e0bb,,"3,011","Mar 31, 2021",16
340,2,Bid Withdrawn,0x83e0bb,,"3,385","Apr 05, 2021",16
341,0,Claimed,,0xc352b5,,"Jun 23, 2017",17
342,1,Bid ,0x118ee7,,0,"Mar 10, 2020",17
343,2,Bid ,0x565590,,26,"Mar 07, 2021",17
344,3,Bid ,0x682b2a,,222,"Apr 20, 2021",17
345,0,Claimed,,0xc352b5,,"Jun 23, 2017",18
346,0,Claimed,,0xc352b5,,"Jun 23, 2017",19
347,1,Bid ,Dude_Nak…,,464,"May 22, 2020",19
348,2,Bid Withdrawn,Dude_Nak…,,470,"May 26, 2020",19
349,0,Claimed,,0xc352b5,,"Jun 23, 2017",20
350,1,Bid ,0x516358,,"42,231","Apr 07, 2021",20
351,2,Bid Withdrawn,0x516358,,"41,618","Apr 09, 2021",20
352,3,Bid ,0x7e152b,,"94,399","May 05, 2021",20
353,4,Bid Withdrawn,0x7e152b,,"93,739","May 05, 2021",20
354,0,Claimed,,0xc352b5,,"Jun 23, 2017",21
355,1,Bid ,magicdhz…,,"44,569","Apr 11, 2021",21
356,2,Bid Withdrawn,magicdhz…,,"44,643","Apr 12, 2021",21
357,0,Claimed,,0xc352b5,,"Jun 23, 2017",22
358,1,Bid ,0x717403,,14,"Jun 25, 2017",22
359,2,Bid ,0x9be1c7,,15,"Jun 26, 2017",22
360,3,Bid ,0x717403,,15,"Jun 26, 2017",22
361,4,Bid ,0x6611fe,,28,"Jul 02, 2017",22
362,5,Bid ,0x7760e0,,28,"Jul 02, 2017",22
363,6,Bid ,Hemba,,136,"Jul 06, 2017",22
364,7,Bid Withdrawn,Hemba,,136,"Jul 06, 2017",22
365,8,Bid ,Zieg,,161,"Jul 31, 2017",22
366,9,Bid Withdrawn,Zieg,,161,"Jul 31, 2017",22
367,10,Bid ,Pranksy,,165,"Jan 01, 2020",22
368,11,Bid Withdrawn,Pranksy,,170,"Jan 05, 2020",22
369,12,Bid ,Pranksy,,360,"Jan 14, 2020",22
370,13,Bid ,Pranksy,,575,"Jan 14, 2020",22
371,14,Bid Withdrawn,Pranksy,,608,"Jan 14, 2020",22
372,15,Bid ,Alex3422,,815,"Jan 26, 2020",22
373,16,Bid Withdrawn,Alex3422,,833,"Jan 26, 2020",22
374,17,Bid ,Pranksy,,839,"May 20, 2020",22
375,18,Bid Withdrawn,Pranksy,,794,"May 22, 2020",22
376,19,Bid ,Pranksy,,"1,627","May 26, 2020",22
377,20,Bid Withdrawn,Pranksy,,"1,614","May 27, 2020",22
378,21,Bid ,Pranksy,,"1,853","May 27, 2020",22
379,22,Bid Withdrawn,Pranksy,,"1,858","May 27, 2020",22
380,23,Bid ,m01222,,"2,484","Oct 13, 2020",22
381,24,Bid Withdrawn,m01222,,"2,381","Oct 16, 2020",22
382,0,Claimed,,0xc352b5,,"Jun 23, 2017",23
383,1,Bid ,0xd80c8c,,16,"Dec 13, 2017",23
384,2,Bid ,0x10ae9f,,74,"Dec 27, 2017",23
385,3,Bid Withdrawn,0x10ae9f,,74,"Dec 27, 2017",23
386,0,Claimed,,0xc352b5,,"Jun 23, 2017",24
387,1,Bid ,Choyna,,114,"Jun 27, 2020",24
388,2,Bid Withdrawn,Choyna,,114,"Jun 28, 2020",24
389,3,Bid ,Korniej,,"1,124","Sep 21, 2020",24
390,4,Bid Withdrawn,Korniej,,"1,037","Sep 21, 2020",24
391,5,Bid ,0xfc80c3,,"42,313","Mar 27, 2021",24
392,6,Bid Withdrawn,0xfc80c3,,"45,688","Mar 29, 2021",24
393,0,Claimed,,0xc352b5,,"Jun 23, 2017",25
394,1,Bid ,Pranksy,,132,"Jan 01, 2020",25
395,2,Bid Withdrawn,Pranksy,,132,"Jan 03, 2020",25
396,3,Bid ,0x0601d0,,571,"May 10, 2020",25
397,4,Bid Withdrawn,0x0601d0,,565,"May 11, 2020",25
398,0,Claimed,,0xc352b5,,"Jun 23, 2017",26
399,0,Claimed,,0xc352b5,,"Jun 23, 2017",27
400,0,Claimed,,0xc352b5,,"Jun 23, 2017",28
401,1,Bid ,0x9be1c7,,15,"Jun 26, 2017",28
402,2,Bid ,0x717403,,15,"Jun 26, 2017",28
403,3,Bid ,0xf6721b,,175,"Mar 22, 2021",28
404,4,Bid Withdrawn,0xf6721b,,171,"Mar 23, 2021",28
405,5,Bid ,snoopalo…,,"1,962","Sep 04, 2021",28
406,6,Bid Withdrawn,snoopalo…,,"1,423","Sep 22, 2021",28
407,0,Claimed,,0xc352b5,,"Jun 23, 2017",29
408,0,Claimed,,0xc352b5,,"Jun 23, 2017",30
409,1,Transfer,0xc352b5,alien635…,,"Jun 09, 2021",30
410,0,Claimed,,0xc352b5,,"Jun 23, 2017",31
411,0,Claimed,,0xc352b5,,"Jun 23, 2017",32
412,1,Transfer,0xc352b5,DANNY,,"Feb 18, 2021",32
413,2,Transfer,DANNY,0x5ea968,,"Feb 18, 2021",32
414,3,Transfer,0x5ea968,gary.vee…,,"Aug 13, 2021",32
415,0,Claimed,,0xc352b5,,"Jun 23, 2017",33
416,1,Bid ,0x6611fe,,123,"Jul 07, 2017",33
417,2,Sold ,0xc352b5,0x6611fe,105,"Jul 10, 2017",33
418,3,Bid ,dafky200…,,770,"Nov 02, 2020",33
419,4,Bid Withdrawn,dafky200…,,813,"Nov 04, 2020",33
